,labels,source,path
0,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-01-01-01-01-01.wav
1,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-01-01-01-02-01.wav
2,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-01-01-02-01-01.wav
3,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-01-01-02-02-01.wav
4,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-02-01-01-01-01.wav
5,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-02-01-01-02-01.wav
6,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-02-01-02-01-01.wav
7,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-02-01-02-02-01.wav
8,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-02-02-01-01-01.wav
9,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-02-02-01-02-01.wav
10,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-02-02-02-01-01.wav
11,male_neutral,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-02-02-02-02-01.wav
12,male_happy,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-03-01-01-01-01.wav
13,male_happy,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-03-01-01-02-01.wav
14,male_happy,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-03-01-02-02-01.wav
15,male_happy,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-03-02-01-01-01.wav
16,male_happy,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-03-02-01-02-01.wav
17,male_happy,RAVDESS,/media/atakan/860A31970A318569/UBUNTU/PROJECT/audio-sentiment-analysis-deep-learning-tool/Datasets/Ravdess/Actor_01/03-01-03-02-02-01-01.wav
